# IMU Recording (MPU6050) - Movement Chain
# Start time: 2026-01-12T17:15:27.444972
# Sample rate: 100 Hz
# Port: COM3
#
timestamp,AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2026-01-12 17:15:30.860,-168,-16684,-1196,-734,-938,-407,1303
2026-01-12 17:15:30.873,416,-16472,-1156,-606,-829,-306,1297
2026-01-12 17:15:30.885,-340,-16572,-1180,-462,-558,-233,1297
2026-01-12 17:15:30.897,-672,-16844,-1044,-430,-433,-138,1305
2026-01-12 17:15:30.910,-160,-16604,-1260,-279,-279,-105,1296
2026-01-12 17:15:30.926,-500,-16208,-796,-173,-113,-51,1304
2026-01-12 17:15:30.938,-360,-16444,-1132,-124,-49,39,1309
2026-01-12 17:15:30.951,-136,-16560,-1540,22,204,102,1308
2026-01-12 17:15:30.963,-144,-16520,-720,141,616,73,1294
2026-01-12 17:15:30.975,-804,-16472,-132,143,767,-27,1302
2026-01-12 17:15:30.988,-1452,-16356,344,123,624,-75,1303
2026-01-12 17:15:31.004,-480,-16044,8,13,325,18,1298
2026-01-12 17:15:31.016,208,-17488,-956,77,348,156,1304
2026-01-12 17:15:31.028,-44,-17024,-972,476,678,118,1304
2026-01-12 17:15:31.041,-592,-16728,-452,652,979,115,1299
2026-01-12 17:15:31.053,-828,-16356,-104,694,1074,97,1293
2026-01-12 17:15:31.069,-1032,-16584,-36,577,1073,23,1294
2026-01-12 17:15:31.081,-1108,-16244,176,451,986,-68,1302
2026-01-12 17:15:31.094,-1020,-16244,132,415,912,-101,1296
2026-01-12 17:15:31.106,-660,-16460,48,463,1009,2,1309
2026-01-12 17:15:31.119,-928,-16432,192,531,1050,49,1294
2026-01-12 17:15:31.131,-836,-16648,192,555,1034,118,1296
2026-01-12 17:15:31.147,-956,-16308,-72,581,1001,109,1301
2026-01-12 17:15:31.159,-880,-16180,-104,518,967,67,1296
2026-01-12 17:15:31.172,-976,-16252,160,464,940,86,1296
2026-01-12 17:15:31.184,-1036,-16120,-20,422,816,84,1288
2026-01-12 17:15:31.196,-896,-16464,124,412,729,107,1297
2026-01-12 17:15:31.212,-1248,-16388,324,412,637,64,1300
2026-01-12 17:15:31.225,-1288,-16344,436,363,467,36,1297
2026-01-12 17:15:31.237,-720,-16604,276,368,365,17,1296
2026-01-12 17:15:31.250,-300,-16944,-304,540,538,80,1292
2026-01-12 17:15:31.262,-440,-16720,168,707,855,172,1295
2026-01-12 17:15:31.278,-960,-16728,760,824,1023,262,1288
2026-01-12 17:15:31.290,-1472,-16492,1172,823,914,310,1296
2026-01-12 17:15:31.303,-1484,-16536,1476,718,620,281,1296
2026-01-12 17:15:31.315,-1300,-16612,1604,640,442,297,1292
2026-01-12 17:15:31.328,-1292,-17000,1796,705,454,335,1299
2026-01-12 17:15:31.344,-1496,-16656,2108,811,425,394,1299
2026-01-12 17:15:31.356,-1752,-16476,2400,841,298,457,1302
2026-01-12 17:15:31.368,-1896,-17096,2492,894,62,538,1295
2026-01-12 17:15:31.381,-1172,-16832,2384,974,-134,502,1298
2026-01-12 17:15:31.397,-1556,-16772,2664,1039,-124,538,1304
2026-01-12 17:15:31.409,-1600,-16252,2872,1006,-189,625,1302
2026-01-12 17:15:31.422,-1508,-17012,3024,1148,-246,585,1294
2026-01-12 17:15:31.435,-2168,-16620,3824,1305,-211,647,1297
2026-01-12 17:15:31.446,-2840,-16236,4368,1323,-495,698,1303
2026-01-12 17:15:31.463,-2352,-16392,4060,1382,-810,776,1293
2026-01-12 17:15:31.475,-3520,-17000,5372,1531,-903,893,1296
2026-01-12 17:15:31.488,-2448,-16392,4080,1600,-1054,1036,1290
2026-01-12 17:15:31.500,-2856,-16544,4232,1706,-974,879,1295
